,,,,,,,,,,,,,,,,,,,,,
,№,Контрагент,,,,,,,,,договр,,МП,,,,,БУГАЛТЕРИЯ,,,
,,Инн,Фирма,Адрес,Контакт,Должност,Ф.И.О,Банк,Мфо,Р/с,№,состаяния,Ф.И.О,Контакт,Регион,Город,Район,Ф.И.О,контакт,ПОЧТА ИНДЕКСИ,
,1,305698472,"""SOXIBQIRON DENTA FARM"" MCHJ","Samarqand viloyati, Pastdarg'om tumani, Juma shahri Xovuzak mahallasi, Ibn Sino tor ko`chasi, 8-uy",973990569,direktor,MARDIROV ANVARJON SOHIBJON OGLI,,00450,20208000900933739001a,359 от 06.05.2024,принито,,,,,,,,,
,2,302491006,"""ALIYA MED FARM"" MCHJ","Qoraqalpog'iston Respublikasi, Beruniy tumani, Beruniy shahri Toxtagul ko'chasi,6-uy",913832928,direktor,ABDIBAYEVA ALYA SHULENBAYEVNA,,01125,20208000905025014001,413 от 24.07.2024,принито,Олимбой,99/711-24-43,Хоразм,,,,97/474-76-64,220100,
,3,306679012,"""DARMON AS-SABUR"" MCHJ","Sirdaryo viloyati, Guliston sh. Bog'ishamol MFY, Turg'un Ahmedov ko'shasi, 8-uy",943507755,direktor,ABDUKAYUMOV DILMUROD KUCHKOROVICH,,00446,20208000105117223001,291 от 22.01.2024,принито,ХУЛКАР,94/580-06-86,гулистон,,,Нодир,99/007-58-19,120100,
,4,308325070,"""NAJIBULLOH PHARM MEDICAL"" MCHJ","Farg'ona viloyati, Marg'ilon sh. Turkiston ko`chasi, 26-uy",916800990,direktor,VAXIDOVA FAYZILATXON BURXANOVNA,,00083,20208000505370097001,386 от 11.06.2024,принито,Нодирахон,,Фаргона,,,,,,
,5,203290424,"""BAXROM-RUSTAM"" XK","Surxondaryo viloyati, Termiz sh. Baxt ko'chasi, 2-uy",942000101,direktor,YO‘LDOSHOV BAXROM BOZOROVICH,,00356,20208000904060329001,342 от 04.04.2024,принито,Шахноза,93/797-74-74,Термиз,,,,,190100,
,6,307774701,"""AZIZBEK - SHAXZODA HAMKOR"" MCHJ","Sirdaryo viloyati, Guliston tumani, Dehqonobod shaharchasi A.Yassaviy MFY , Binokor ko'chasi, 4-uy",975051919,direktor,ISABAYEV SAYFIDDIN SADIQJAN O‘G‘LI,,00440,20208000305284911001,409 от 16.07.2024,принито,Хулкар,,Гулистон,,,,,,
,7,309937052,"""MADINA-PHARM TOSHKENT"" MCHJ","Toshkent shahri, Olmazor tumani Miskin MFY, Usta Shirin ko'chasi, 116\6-uy",909512842,direktor,SHUKUROV NORBEK SHERQULOVICH,,01033,20208000705588681001,369 от 16.05.2024,принито,ХИКМАТИЛЛА,95/870-71-77,Тошкент,,,,,,
,8,305092437/X,"""BIOTEK FARM"" MCHJ","Samarqand viloyati, Samarqand tumani, Kattaqo'rg'onariq QFY Turkman mahallasi",939930031,direktor,TURSUNOV XAMIDULLO QURBANOVICH,,01061,20208000700816987001,309 от 15.02.2024,принито,ULUGBEK,99/629-60-00,XORAZM,,,,,220100,
,9,305092437/T,"""BIOTEK FARM"" MCHJ","Samarqand viloyati, Samarqand tumani, Kattaqo'rg'onariq QFY Turkman mahallasi",939930031,direktor,TURSUNOV XAMIDULLO QURBANOVICH,,01061,20208000700816987001,309 от 15.02.2024,принито,ХИКМАТИЛЛА,95/870-71-77,Тошкент,,,,,,
,10,305092437/F,"""BIOTEK FARM"" MCHJ","Samarqand viloyati, Samarqand tumani, Kattaqo'rg'onariq QFY Turkman mahallasi",939930031,direktor,TURSUNOV XAMIDULLO QURBANOVICH,,01061,20208000700816987001,309 от 15.02.2024,принито,SARDOR,99/002-05-67,FARGONA,,,,,150100,
,11,302306329,"""SAMANDAR MED FARM"" XK","Qashqadaryo viloyati, Qarshi sh. Xalqlar do'stligi ko'chasi, 7a-uy",906161199,direktor,UTAGANOV SAMANDAR TIRKASHEVICH,,01135,20208000704980667001,12 от 09.01.2023,принито,Хусан,,Карши,,,,,,
,12,301050626,"""GULLOLA MEDIA FARM"" XK","Qashqadaryo viloyati, Qarshi sh. O'zbekiston ko'chasi, 38-uy, 1-xona",752241222,direktor,ALLAYEV OLIMJON XUDAYBERDIYEVICH,,00491,20208000704757637001,13 от 09.01.2023,принито,Нигора,,Карши,,,,,,
,13,200519218,KOINOT-RADIO TEXNIKA MOLLARI XK,"Toshkent shahri, Mirobod tumani MIRSOLIHOV, 1, 37-41",977210005,direktor,TILYAYEV DAVRON AKMALOVICH,,00445,20208000800186116001,№313 от 20.02.2024,принито,ХИКМАТИЛЛА,95/870-71-77,ТОШКЕНТ,,,,,,
,14,305128040,"""TILLO GIPPER FARM"" MCHJ","Farg'ona viloyati, Marg'ilon sh., Marg'ilon shahar xokimligiga qarashli shaharchalar B.Marg'iloniy ko'chasi, 173-uy",939806768,direktor,XAKIMOV QUDRATJON QOBILJONOVICH,,00083,20208000500812124001,70 от 01.02.2023,принито,NODIRAXON,97/045-50-05,MARGILON,,,,90/405-81-61,151100,
,15,309358084,"""NILUFAR-MED-FARM-ANGOR"" MCHJ","Surxondaryo viloyati, Angor tumani, Angor shaharchasi Sharq guli mahallasi, raqamsiz uy",990530280,direktor,AMANOV ZOKIR YO‘LDOSHEVICH,,00433,20208000105502446001,362 от 13.05.2024,принито,Шахноза,,Термиз,,,,,,
,16,205396424,"""YUMAXFARM-SERVIS"" MCHJ","Samarqand viloyati, Samarqand tumani, Kattaqo'rg'onariq QFY Turkman mahallasi",90250394,direktor,SHUKUROV SHAXOBIDIN SADRIYEVICH,,01061,20208000904391666001,273 от 13.12.2023,принито,Комил,,Самарканд,,,,,,
,17,303081752,"""TUMARIS DARMON SAVDO"" XK","Qoraqalpog'iston Respublikasi, Shumanay tumani, Shumanay shahri Garezsizlik ko'chasi, 57-uy",90/574-54-67,direktor,EMBERGENOVA GULNARA QURBANBAEVNA,,01125,20208000100426403001,195 от 22.06.2023,принито,МАХМУД,91/097-17-72,НУКУС,,,,,230100,
,18,200238963,"""BIG-FAMILY-PHARM"" MCHJ","Andijon viloyati, Andijon sh. Furqat ko`chasi, 24-manzil",901728800,direktor,RASULOV XURSHIDBEK RUSTAMOVICH,,00491,20208000400185448001,412 от 18.07.2024,принито,,,Андижон,,,Muhammadshukur,97/9930297,170100,
,19,207172060,"""REFLEX START PHARM MEDICAL"" XK","Namangan viloyati, Namangan sh., Davlatobod tumani Porloq MFY, 3-kichik tuman ko`chasi, 24-uy",936777474,direktor,AXMATJANOV ABDULAZIZ AKRAM-O‘G‘LI,,00083,20208000605024461001,371 от 20.05.2024,принито,Хикматилла,,Наманган,,,,,,
,20,303821503,"""SOGDA SARDOR FARM SERVIS"" MCHJ","Samarqand viloyati, Samarqand sh. Sug'diyona maskani, 21-uy, 32-xona",933408558,direktor,ROZIKOV ALIBEK XUSHVAQTOVICH,,01037,20208000300591395001,53 от 25.01.2023,принито,,,Самарканд,,,,,,
